"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,38249,8506,"BPS  Open Water",8506,"EVT  Open Water",8506
"2",31,9018,2131,474,"BPS  Barren-Rock/Sand/Clay",1862,"EVT  Sparsely Vegetated",2762
"3",31,9023,6241,1388,"BPS  Barren-Rock/Sand/Clay",1862,"EVT  Sparsely Vegetated",2834
"4",1247,7141,1,0,"BPS  Sparse",421,"EVT  Grassland",898280
"5",1247,7295,43,10,"BPS  Sparse",421,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",4721
"6",1247,7299,1,0,"BPS  Sparse",421,"EVT  Developed-Roads",35142
"7",1247,7967,1,0,"BPS  Sparse",421,"EVT  Agricultural",186504
"8",1247,9018,1819,405,"BPS  Sparse",421,"EVT  Sparsely Vegetated",2762
"9",1247,9023,27,6,"BPS  Sparse",421,"EVT  Sparsely Vegetated",2834
"10",1248,7066,2,0,"BPS  Sparse",709,"EVT  Shrubland",12
"11",1248,7085,19,4,"BPS  Sparse",709,"EVT  Shrubland",243118
"12",1248,7125,27,6,"BPS  Sparse",709,"EVT  Shrubland",130300
"13",1248,7141,94,21,"BPS  Sparse",709,"EVT  Grassland",898280
"14",1248,7295,154,34,"BPS  Sparse",709,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",4721
"15",1248,7296,2,0,"BPS  Sparse",709,"EVT  Developed-Low Intensity",8221
"16",1248,7297,6,1,"BPS  Sparse",709,"EVT  Developed-Medium Intensity",3995
"17",1248,7298,8,2,"BPS  Sparse",709,"EVT  Developed-High Intensity",1423
"18",1248,7299,11,2,"BPS  Sparse",709,"EVT  Developed-Roads",35142
"19",1248,7903,2,0,"BPS  Sparse",709,"EVT  Developed",6848
"20",1248,7923,2,0,"BPS  Sparse",709,"EVT  Developed",1802
"21",1248,7924,2,0,"BPS  Sparse",709,"EVT  Developed",2363
"22",1248,7963,14,3,"BPS  Sparse",709,"EVT  Agricultural",5451
"23",1248,7964,1,0,"BPS  Sparse",709,"EVT  Agricultural",858
"24",1248,7965,44,10,"BPS  Sparse",709,"EVT  Agricultural",62226
"25",1248,7966,48,11,"BPS  Sparse",709,"EVT  Agricultural",16904
"26",1248,7967,49,11,"BPS  Sparse",709,"EVT  Agricultural",186504
"27",1248,7968,4,1,"BPS  Sparse",709,"EVT  Agricultural",3272
"28",1248,9018,170,38,"BPS  Sparse",709,"EVT  Sparsely Vegetated",2762
"29",1248,9023,2531,563,"BPS  Sparse",709,"EVT  Sparsely Vegetated",2834
"30",1249,7011,25092,5580,"BPS  Hardwood",27586,"EVT  Hardwood",18762
"31",1249,7048,2143,477,"BPS  Hardwood",27586,"EVT  Conifer",15802
"32",1249,7085,1746,388,"BPS  Hardwood",27586,"EVT  Shrubland",243118
"33",1249,7141,3436,764,"BPS  Hardwood",27586,"EVT  Grassland",898280
"34",1249,7145,58,13,"BPS  Hardwood",27586,"EVT  Grassland",250
"35",1249,7179,86185,19167,"BPS  Hardwood",27586,"EVT  Conifer",1528513
"36",1249,7295,8,2,"BPS  Hardwood",27586,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",4721
"37",1249,7296,35,8,"BPS  Hardwood",27586,"EVT  Developed-Low Intensity",8221
"38",1249,7297,12,3,"BPS  Hardwood",27586,"EVT  Developed-Medium Intensity",3995
"39",1249,7298,4,1,"BPS  Hardwood",27586,"EVT  Developed-High Intensity",1423
"40",1249,7299,468,104,"BPS  Hardwood",27586,"EVT  Developed-Roads",35142
"41",1249,7900,87,19,"BPS  Hardwood",27586,"EVT  Developed",1103
"42",1249,7901,138,31,"BPS  Hardwood",27586,"EVT  Developed",4864
"43",1249,7902,22,5,"BPS  Hardwood",27586,"EVT  Developed",540
"44",1249,7903,13,3,"BPS  Hardwood",27586,"EVT  Developed",6848
