"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_20_29",0.0098114,"Rocky Mountain Aspen Forest and Woodland",9,0.450980392,27586,0.8,270.6572804
"2","All Fire","10480_29",0.0340978,"Northwestern Great Plains Highland White Spruce Woodland",4,0.298039216,88002,2.6,3000.6745956
"3","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",20,0.670588235,16,0,0.0404096
"4","All Fire","10510_29",0.0961674,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",21,1,14,0,1.3463436
"5","All Fire","10540_29",0.0568408,"Southern Rocky Mountain Ponderosa Pine Woodland",22,0,1544,0,87.7621952
"6","All Fire","10550_29",0.0087036,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",23,0.745098039,3,0,0.0261108
"7","All Fire","10610_20_29",0.018349,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",10,0,27216,0.8,499.386384
"8","All Fire","10620_10_19_21_29_31",0.014686,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",24,0.901960784,9,0,0.132174
"9","All Fire","10720_22_29",0.003041,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",25,0.784313725,0,0,0
"10","All Fire","10850_29_30",0.065863,"Northwestern Great Plains Shrubland",26,0.517647059,201,0,13.238463
"11","All Fire","10860_29",0.0093834,"Rocky Mountain Lower Montane-Foothill Shrubland",6,0.396078431,62582,1.8,587.2319388
"12","All Fire","11060_20_21_29",0.0126868,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",15,0.31372549,4061,0.1,51.5210948
"13","All Fire","11170_29",0.068606,"Southern Rocky Mountain Ponderosa Pine Savanna",27,0,70,0,4.80242
"14","All Fire","11250_20_29_30_31_33",0.010862,"Inter-Mountain Basins Big Sagebrush Steppe",7,0.874509804,62548,1.8,679.396376
"15","All Fire","11260_20_29_33",0.0201238,"Inter-Mountain Basins Montane Sagebrush Steppe",28,0.662745098,114,0,2.2941132
"16","All Fire","11390_29",0.028715,"Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland",5,0.4,71562,2.1,2054.90283
"17","All Fire","11400_29",0.0124844,"Northern Rocky Mountain Subalpine-Upper Montane Grassland",29,0.764705882,1003,0,12.5218532
"18","All Fire","11410_29_30",0.0739452,"Northwestern Great Plains Mixedgrass Prairie",1,0.909803922,1348370,39.1,99705.489324
"19","All Fire","11450_29",0.0117916,"Rocky Mountain Subalpine-Montane Mesic Meadow",13,1,5301,0.2,62.5072716
"20","All Fire","11480_20_29_30",0.0466178,"Western Great Plains Sand Prairie",30,0.662745098,1679,0,78.2712862
"21","All Fire","11490_29",0.047766,"Western Great Plains Shortgrass Prairie",16,0.4,2346,0.1,112.059036
"22","All Fire","11530_20_22_29_30",0.004888,"Inter-Mountain Basins Greasewood Flat",31,0.882352941,1686,0,8.241168
"23","All Fire","11590_29",0.0186046,"Rocky Mountain Montane Riparian Systems",11,0.364705882,26326,0.8,489.7846996
"24","All Fire","11620_29_30",0.019482,"Western Great Plains Floodplain Systems",8,0.803921569,59160,1.7,1152.55512
