"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,38249,"Open Water",0,0,255,0,0,1,8506,0.2
"2",13,4960,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,1103,0
"3",14,21871,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,4864,0.1
"4",15,2427,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,540,0
"5",16,30794,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,6848,0.2
"6",17,58474,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,13004,0.4
"7",22,36968,"Developed-Low Intensity",255,122,143,1,0.478431,0.560784,8221,0.2
"8",23,17965,"Developed-Medium Intensity",253,44,79,0.992157,0.172549,0.309804,3995,0.1
"9",24,6398,"Developed-High Intensity",173,0,28,0.678431,0,0.109804,1423,0
"10",25,158016,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,35142,1
"11",31,8372,"Barren",191,191,191,0.74902,0.74902,0.74902,1862,0.1
"12",32,21226,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,4721,0.1
"13",63,24511,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,5451,0.2
"14",64,3860,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,858,0
"15",65,279798,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,62226,1.8
"16",68,14713,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,3272,0.1
"17",100,16791,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,3734,0.1
"18",110,40879,"Tree Cover = 10%",204,255,153,0.8,1,0.6,9091,0.3
"19",111,16400,"Tree Cover = 11%",202,252,151,0.792157,0.988235,0.592157,3647,0.1
"20",112,21431,"Tree Cover = 12%",199,250,147,0.780392,0.980392,0.576471,4766,0.1
"21",113,27952,"Tree Cover = 13%",194,247,143,0.760784,0.968627,0.560784,6216,0.2
"22",114,34754,"Tree Cover = 14%",192,245,142,0.752941,0.960784,0.556863,7729,0.2
"23",115,150309,"Tree Cover = 15%",188,242,138,0.737255,0.94902,0.541176,33428,1
"24",116,49929,"Tree Cover = 16%",183,240,134,0.717647,0.941176,0.52549,11104,0.3
"25",117,58492,"Tree Cover = 17%",181,237,133,0.709804,0.929412,0.521569,13008,0.4
"26",118,67843,"Tree Cover = 18%",178,235,129,0.698039,0.921569,0.505882,15088,0.4
"27",119,77820,"Tree Cover = 19%",173,232,125,0.678431,0.909804,0.490196,17307,0.5
"28",120,87754,"Tree Cover = 20%",173,232,125,0.678431,0.909804,0.490196,19516,0.6
"29",121,98548,"Tree Cover = 21%",170,230,122,0.666667,0.901961,0.478431,21917,0.6
"30",122,109340,"Tree Cover = 22%",165,227,118,0.647059,0.890196,0.462745,24317,0.7
"31",123,118650,"Tree Cover = 23%",163,224,117,0.639216,0.878431,0.458824,26387,0.8
"32",124,125913,"Tree Cover = 24%",160,222,113,0.627451,0.870588,0.443137,28002,0.8
"33",125,378452,"Tree Cover = 25%",155,219,110,0.607843,0.858824,0.431373,84166,2.4
"34",126,137791,"Tree Cover = 26%",154,217,108,0.603922,0.85098,0.423529,30644,0.9
"35",127,141838,"Tree Cover = 27%",150,214,105,0.588235,0.839216,0.411765,31544,0.9
"36",128,145241,"Tree Cover = 28%",146,212,102,0.572549,0.831373,0.4,32301,0.9
"37",129,147179,"Tree Cover = 29%",144,209,100,0.564706,0.819608,0.392157,32732,0.9
"38",130,150224,"Tree Cover = 30%",143,209,98,0.560784,0.819608,0.384314,33409,1
"39",131,152610,"Tree Cover = 31%",138,207,95,0.541176,0.811765,0.372549,33940,1
"40",132,156103,"Tree Cover = 32%",136,204,94,0.533333,0.8,0.368627,34716,1
"41",133,158484,"Tree Cover = 33%",133,201,91,0.521569,0.788235,0.356863,35246,1
"42",134,160977,"Tree Cover = 34%",128,199,88,0.501961,0.780392,0.345098,35800,1
"43",135,447441,"Tree Cover = 35%",127,196,86,0.498039,0.768627,0.337255,99508,2.9
"44",136,166477,"Tree Cover = 36%",124,194,83,0.486275,0.760784,0.32549,37024,1.1
"45",137,168917,"Tree Cover = 37%",119,191,80,0.466667,0.74902,0.313725,37566,1.1
"46",138,171670,"Tree Cover = 38%",118,189,79,0.462745,0.741176,0.309804,38178,1.1
"47",139,174331,"Tree Cover = 39%",115,186,76,0.45098,0.729412,0.298039,38770,1.1
"48",140,177560,"Tree Cover = 40%",112,186,74,0.439216,0.729412,0.290196,39488,1.1
"49",141,178635,"Tree Cover = 41%",110,184,73,0.431373,0.721569,0.286275,39727,1.2
"50",142,178588,"Tree Cover = 42%",107,181,71,0.419608,0.709804,0.278431,39717,1.2
"51",143,176695,"Tree Cover = 43%",103,179,68,0.403922,0.701961,0.266667,39296,1.1
"52",144,174344,"Tree Cover = 44%",101,176,67,0.396078,0.690196,0.262745,38773,1.1
"53",145,671033,"Tree Cover = 45%",99,173,64,0.388235,0.678431,0.25098,149234,4.3
"54",146,162196,"Tree Cover = 46%",94,171,62,0.368627,0.670588,0.243137,36072,1
"55",147,154415,"Tree Cover = 47%",93,168,61,0.364706,0.658824,0.239216,34341,1
"56",148,144896,"Tree Cover = 48%",90,166,58,0.352941,0.65098,0.227451,32224,0.9
"57",149,135611,"Tree Cover = 49%",86,163,55,0.337255,0.639216,0.215686,30159,0.9
"58",150,127164,"Tree Cover = 50%",86,163,55,0.337255,0.639216,0.215686,28281,0.8
"59",151,114356,"Tree Cover = 51%",84,161,53,0.329412,0.631373,0.207843,25432,0.7
"60",152,111776,"Tree Cover = 52%",79,158,51,0.309804,0.619608,0.2,24858,0.7
"61",153,92600,"Tree Cover = 53%",78,156,50,0.305882,0.611765,0.196078,20594,0.6
"62",154,82524,"Tree Cover = 54%",76,153,47,0.298039,0.6,0.184314,18353,0.5
"63",155,82500,"Tree Cover = 55%",71,150,45,0.278431,0.588235,0.176471,18348,0.5
"64",156,64469,"Tree Cover = 56%",69,148,43,0.270588,0.580392,0.168627,14338,0.4
"65",157,55504,"Tree Cover = 57%",68,145,42,0.266667,0.568627,0.164706,12344,0.4
"66",158,47684,"Tree Cover = 58%",64,143,40,0.25098,0.560784,0.156863,10605,0.3
"67",159,154578,"Tree Cover = 59%",62,140,38,0.243137,0.54902,0.14902,34377,1
"68",160,3009,"Tree Cover = 60%",62,140,38,0.243137,0.54902,0.14902,669,0
"69",161,2492,"Tree Cover = 61%",58,138,36,0.227451,0.541176,0.141176,554,0
"70",162,1957,"Tree Cover = 62%",56,135,34,0.219608,0.529412,0.133333,435,0
"71",163,1426,"Tree Cover = 63%",55,133,33,0.215686,0.521569,0.129412,317,0
"72",164,2025,"Tree Cover = 64%",51,130,31,0.2,0.509804,0.121569,450,0
"73",165,76,"Tree Cover = 65%",49,128,29,0.192157,0.501961,0.113725,17,0
"74",166,9,"Tree Cover = 66%",48,125,29,0.188235,0.490196,0.113725,2,0
"75",167,10,"Tree Cover = 67%",44,122,27,0.172549,0.478431,0.105882,2,0
"76",168,27,"Tree Cover = 68%",43,120,25,0.168627,0.470588,0.098039,6,0
"77",210,9942,"Shrub Cover = 10%",212,178,125,0.831373,0.698039,0.490196,2211,0.1
"78",211,3884,"Shrub Cover = 11%",212,176,123,0.831373,0.690196,0.482353,864,0
"79",212,4383,"Shrub Cover = 12%",212,175,123,0.831373,0.686275,0.482353,975,0
"80",213,4855,"Shrub Cover = 13%",212,174,121,0.831373,0.682353,0.47451,1080,0
"81",214,5964,"Shrub Cover = 14%",209,170,119,0.819608,0.666667,0.466667,1326,0
"82",215,1437,"Shrub Cover = 15%",209,168,117,0.819608,0.658824,0.458824,320,0
"83",216,7617,"Shrub Cover = 16%",209,166,117,0.819608,0.65098,0.458824,1694,0
"84",217,9033,"Shrub Cover = 17%",209,165,115,0.819608,0.647059,0.45098,2009,0.1
"85",218,10616,"Shrub Cover = 18%",209,164,115,0.819608,0.643137,0.45098,2361,0.1
"86",219,13397,"Shrub Cover = 19%",209,161,113,0.819608,0.631373,0.443137,2979,0.1
"87",220,17103,"Shrub Cover = 20%",207,159,112,0.811765,0.623529,0.439216,3804,0.1
"88",221,1256,"Shrub Cover = 21%",207,156,109,0.811765,0.611765,0.427451,279,0
"89",222,23844,"Shrub Cover = 22%",207,155,109,0.811765,0.607843,0.427451,5303,0.2
"90",223,30352,"Shrub Cover = 23%",207,154,107,0.811765,0.603922,0.419608,6750,0.2
"91",224,39410,"Shrub Cover = 24%",207,152,107,0.811765,0.596078,0.419608,8765,0.3
"92",225,51373,"Shrub Cover = 25%",207,151,105,0.811765,0.592157,0.411765,11425,0.3
"93",226,61690,"Shrub Cover = 26%",204,147,104,0.8,0.576471,0.407843,13720,0.4
"94",227,2447,"Shrub Cover = 27%",204,146,102,0.8,0.572549,0.4,544,0
"95",228,74216,"Shrub Cover = 28%",204,145,102,0.8,0.568627,0.4,16505,0.5
"96",229,88463,"Shrub Cover = 29%",204,142,100,0.8,0.556863,0.392157,19674,0.6
"97",230,105436,"Shrub Cover = 30%",204,142,100,0.8,0.556863,0.392157,23448,0.7
"98",231,130256,"Shrub Cover = 31%",201,137,97,0.788235,0.537255,0.380392,28968,0.8
"99",232,161946,"Shrub Cover = 32%",201,137,97,0.788235,0.537255,0.380392,36016,1
"100",233,359,"Shrub Cover = 33%",201,134,95,0.788235,0.52549,0.372549,80,0
"101",234,194135,"Shrub Cover = 34%",201,134,95,0.788235,0.52549,0.372549,43175,1.3
"102",235,221157,"Shrub Cover = 35%",201,132,95,0.788235,0.517647,0.372549,49184,1.4
"103",236,224641,"Shrub Cover = 36%",199,129,91,0.780392,0.505882,0.356863,49959,1.4
"104",237,206387,"Shrub Cover = 37%",199,127,91,0.780392,0.498039,0.356863,45899,1.3
"105",238,166003,"Shrub Cover = 38%",199,126,90,0.780392,0.494118,0.352941,36918,1.1
"106",239,31,"Shrub Cover = 39%",199,126,90,0.780392,0.494118,0.352941,7,0
"107",240,119910,"Shrub Cover = 40%",199,123,88,0.780392,0.482353,0.345098,26667,0.8
"108",241,76257,"Shrub Cover = 41%",196,121,86,0.768627,0.47451,0.337255,16959,0.5
"109",242,55047,"Shrub Cover = 42%",196,118,84,0.768627,0.462745,0.329412,12242,0.4
"110",243,19304,"Shrub Cover = 43%",196,118,84,0.768627,0.462745,0.329412,4293,0.1
"111",244,17777,"Shrub Cover = 44%",196,115,82,0.768627,0.45098,0.321569,3954,0.1
"112",246,839,"Shrub Cover = 46%",194,110,79,0.760784,0.431373,0.309804,187,0
"113",247,614,"Shrub Cover = 47%",194,110,79,0.760784,0.431373,0.309804,137,0
"114",248,437,"Shrub Cover = 48%",194,110,79,0.760784,0.431373,0.309804,97,0
"115",249,1181,"Shrub Cover = 49%",194,107,78,0.760784,0.419608,0.305882,263,0
"116",310,4903,"Herb Cover = 10%",255,204,102,1,0.8,0.4,1090,0
"117",311,1485,"Herb Cover = 11%",255,204,102,1,0.8,0.4,330,0
"118",312,2451,"Herb Cover = 12%",255,201,102,1,0.788235,0.4,545,0
"119",313,1940,"Herb Cover = 13%",255,201,102,1,0.788235,0.4,431,0
"120",314,4163,"Herb Cover = 14%",255,201,99,1,0.788235,0.388235,926,0
"121",315,3099,"Herb Cover = 15%",255,198,99,1,0.776471,0.388235,689,0
"122",316,4351,"Herb Cover = 16%",255,197,97,1,0.772549,0.380392,968,0
"123",317,3645,"Herb Cover = 17%",255,197,97,1,0.772549,0.380392,811,0
"124",318,4205,"Herb Cover = 18%",255,193,94,1,0.756863,0.368627,935,0
"125",319,4670,"Herb Cover = 19%",255,193,94,1,0.756863,0.368627,1039,0
"126",320,5587,"Herb Cover = 20%",255,192,92,1,0.752941,0.360784,1243,0
"127",321,5008,"Herb Cover = 21%",255,190,92,1,0.745098,0.360784,1114,0
"128",322,6552,"Herb Cover = 22%",255,190,92,1,0.745098,0.360784,1457,0
"129",323,5818,"Herb Cover = 23%",255,189,89,1,0.741176,0.34902,1294,0
"130",324,6402,"Herb Cover = 24%",255,186,89,1,0.729412,0.34902,1424,0
"131",325,6655,"Herb Cover = 25%",255,185,87,1,0.72549,0.341176,1480,0
"132",326,7686,"Herb Cover = 26%",255,185,87,1,0.72549,0.341176,1709,0
"133",327,7513,"Herb Cover = 27%",255,181,84,1,0.709804,0.329412,1671,0
"134",328,9196,"Herb Cover = 28%",255,181,84,1,0.709804,0.329412,2045,0.1
"135",329,10206,"Herb Cover = 29%",255,180,82,1,0.705882,0.321569,2270,0.1
"136",330,11550,"Herb Cover = 30%",255,177,82,1,0.694118,0.321569,2569,0.1
"137",331,13493,"Herb Cover = 31%",255,176,79,1,0.690196,0.309804,3001,0.1
"138",332,17005,"Herb Cover = 32%",255,176,79,1,0.690196,0.309804,3782,0.1
"139",333,18523,"Herb Cover = 33%",255,173,79,1,0.678431,0.309804,4119,0.1
"140",334,22096,"Herb Cover = 34%",255,172,77,1,0.67451,0.301961,4914,0.1
"141",335,391153,"Herb Cover = 35%",255,172,77,1,0.67451,0.301961,86990,2.5
"142",336,29131,"Herb Cover = 36%",255,171,74,1,0.670588,0.290196,6479,0.2
"143",337,33729,"Herb Cover = 37%",255,167,74,1,0.654902,0.290196,7501,0.2
"144",338,39882,"Herb Cover = 38%",255,166,71,1,0.65098,0.278431,8870,0.3
"145",339,44630,"Herb Cover = 39%",255,166,71,1,0.65098,0.278431,9925,0.3
"146",340,55330,"Herb Cover = 40%",255,162,69,1,0.635294,0.270588,12305,0.4
"147",341,59311,"Herb Cover = 41%",255,162,69,1,0.635294,0.270588,13190,0.4
"148",342,67258,"Herb Cover = 42%",255,161,66,1,0.631373,0.258824,14958,0.4
"149",343,76797,"Herb Cover = 43%",255,158,66,1,0.619608,0.258824,17079,0.5
"150",344,86017,"Herb Cover = 44%",255,158,66,1,0.619608,0.258824,19130,0.6
"151",345,106206,"Herb Cover = 45%",255,156,64,1,0.611765,0.25098,23620,0.7
"152",346,107604,"Herb Cover = 46%",255,153,64,1,0.6,0.25098,23931,0.7
"153",347,119499,"Herb Cover = 47%",255,152,61,1,0.596078,0.239216,26576,0.8
"154",348,131186,"Herb Cover = 48%",255,152,61,1,0.596078,0.239216,29175,0.8
"155",349,144245,"Herb Cover = 49%",255,147,59,1,0.576471,0.231373,32079,0.9
"156",350,158827,"Herb Cover = 50%",255,147,59,1,0.576471,0.231373,35322,1
"157",351,167669,"Herb Cover = 51%",255,146,56,1,0.572549,0.219608,37289,1.1
"158",352,178659,"Herb Cover = 52%",255,142,56,1,0.556863,0.219608,39733,1.2
"159",353,187342,"Herb Cover = 53%",255,141,54,1,0.552941,0.211765,41664,1.2
"160",354,194084,"Herb Cover = 54%",255,141,54,1,0.552941,0.211765,43163,1.3
"161",355,478733,"Herb Cover = 55%",255,137,54,1,0.537255,0.211765,106468,3.1
"162",356,200332,"Herb Cover = 56%",255,136,51,1,0.533333,0.2,44553,1.3
"163",357,200485,"Herb Cover = 57%",255,136,51,1,0.533333,0.2,44587,1.3
"164",358,198782,"Herb Cover = 58%",255,135,48,1,0.529412,0.188235,44208,1.3
"165",359,194405,"Herb Cover = 59%",255,131,48,1,0.513725,0.188235,43235,1.3
"166",360,187368,"Herb Cover = 60%",255,130,46,1,0.509804,0.180392,41670,1.2
"167",361,177902,"Herb Cover = 61%",255,130,46,1,0.509804,0.180392,39564,1.1
"168",362,167424,"Herb Cover = 62%",255,124,43,1,0.486275,0.168627,37234,1.1
"169",363,155673,"Herb Cover = 63%",255,124,43,1,0.486275,0.168627,34621,1
"170",364,143775,"Herb Cover = 64%",255,123,41,1,0.482353,0.160784,31975,0.9
"171",365,134570,"Herb Cover = 65%",255,119,41,1,0.466667,0.160784,29928,0.9
"172",366,116747,"Herb Cover = 66%",255,119,41,1,0.466667,0.160784,25964,0.8
"173",367,103686,"Herb Cover = 67%",255,118,38,1,0.462745,0.14902,23059,0.7
"174",368,90229,"Herb Cover = 68%",255,114,38,1,0.447059,0.14902,20066,0.6
"175",369,78603,"Herb Cover = 69%",255,112,36,1,0.439216,0.141176,17481,0.5
"176",370,67725,"Herb Cover = 70%",255,112,36,1,0.439216,0.141176,15062,0.4
"177",371,56726,"Herb Cover = 71%",255,107,33,1,0.419608,0.129412,12616,0.4
"178",372,47303,"Herb Cover = 72%",255,107,33,1,0.419608,0.129412,10520,0.3
"179",373,38851,"Herb Cover = 73%",255,105,31,1,0.411765,0.121569,8640,0.3
"180",374,31406,"Herb Cover = 74%",255,102,31,1,0.4,0.121569,6985,0.2
"181",375,25607,"Herb Cover = 75%",255,100,28,1,0.392157,0.109804,5695,0.2
"182",376,19999,"Herb Cover = 76%",255,100,28,1,0.392157,0.109804,4448,0.1
"183",377,44270,"Herb Cover = 77%",255,100,28,1,0.392157,0.109804,9845,0.3
"184",378,5319,"Herb Cover = 78%",255,94,25,1,0.368627,0.098039,1183,0
"185",379,2873,"Herb Cover = 79%",255,94,25,1,0.368627,0.098039,639,0
"186",380,752,"Herb Cover = 80%",255,93,23,1,0.364706,0.090196,167,0
"187",381,501,"Herb Cover = 81%",255,89,23,1,0.34902,0.090196,111,0
"188",382,1244,"Herb Cover = 82%",255,87,20,1,0.341176,0.078431,277,0
"189",383,15,"Herb Cover = 83%",255,87,20,1,0.341176,0.078431,3,0
"190",384,10,"Herb Cover = 84%",255,81,18,1,0.317647,0.070588,2,0
"191",385,8034,"Herb Cover = 85%",255,81,18,1,0.317647,0.070588,1787,0.1
"192",386,7,"Herb Cover = 86%",255,79,15,1,0.309804,0.058824,2,0
