"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_Fuel_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7011,84362,"Rocky Mountain Aspen Forest and Woodland",7011,2011,"Tr Rocky Mountain Aspen Forest and Woodland","Tree","Hardwood",602,"Aspen Forest, Woodland, and Parkland","SAF 217: Aspen","Tree-dominated","Open tree canopy","Deciduous open tree canopy",192,255,138,0.752941,1,0.541176,18762,0.5
"2",7013,1034,"Western Great Plains Dry Bur Oak Forest and Woodland",7013,2013,"Tr Western Great Plains Dry Bur Oak Forest and Woodland","Tree","Hardwood",659,"Bur Oak Woodland and Savanna","SAF 236: Bur Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,230,0
"3",7048,71054,"Northwestern Great Plains Highland White Spruce Woodland",7048,2048,"Tr Northwestern Great Plains Highland White Spruce Woodland","Tree","Conifer",639,"Spruce-Fir Forest and Woodland","SAF 201: White Spruce","Tree-dominated","Open tree canopy","Evergreen open tree canopy",182,250,227,0.713725,0.980392,0.890196,15802,0.5
"4",7066,54,"Inter-Mountain Basins Mat Saltbush Shrubland",7066,2066,"Sh Inter-Mountain Basins Mat Saltbush Shrubland","Shrub","Shrubland",636,"Salt Desert Scrub","SRM 501: Saltbush-Greasewood","Shrub-dominated","Dwarf-shrubland","Evergreen dwarf-shrubland",194,170,126,0.760784,0.666667,0.494118,12,0
"5",7085,1093184,"Northwestern Great Plains Shrubland",7085,2085,"Sh Northwestern Great Plains Shrubland","Shrub","Shrubland",604,"Big Sagebrush Shrubland and Steppe","SRM 612: Sagebrush-Grass","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",122,93,65,0.478431,0.364706,0.254902,243118,7.1
"6",7094,33,"Western Great Plains Sandhill Steppe",7094,2094,"Sh Western Great Plains Sandhill Steppe","Shrub","Shrubland",637,"Sand Shrubland","SRM 605: Sandsage Prairie","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",112,82,57,0.439216,0.321569,0.223529,7,0
"7",7125,585897,"Inter-Mountain Basins Big Sagebrush Steppe",7125,2125,"Sh Inter-Mountain Basins Big Sagebrush Steppe","Shrub","Shrubland",604,"Big Sagebrush Shrubland and Steppe","SRM 314: Big Sagebrush-Bluebunch Wheatgrass","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",230,151,41,0.901961,0.592157,0.160784,130300,3.8
"8",7126,9,"Inter-Mountain Basins Montane Sagebrush Steppe",7126,2126,"Sh Inter-Mountain Basins Montane Sagebrush Steppe","Shrub","Shrubland",604,"Big Sagebrush Shrubland and Steppe","SRM 402: Mountain Big Sagebrush","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",219,140,37,0.858824,0.54902,0.145098,2,0
"9",7141,4039124,"Northwestern Great Plains Mixedgrass Prairie",7141,2141,"He Northwestern Great Plains Mixedgrass Prairie","Herb","Grassland",646,"Mixedgrass Prairie","SRM 606: Wheatgrass-Bluestem-Needlegrass","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,176,92,1,0.690196,0.360784,898280,26.1
"10",7145,1126,"Rocky Mountain Subalpine-Montane Mesic Meadow",7145,2145,"He Rocky Mountain Subalpine-Montane Mesic Meadow","Herb","Grassland",601,"Alpine Dwarf-Shrubland, Fell-field and Meadow","SRM 409: Tall Forb","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,163,82,1,0.639216,0.321569,250,0
